Landmark_ID,name,category,description,city,locationString,latitude,longitude
Anc_01,Qubbet_el-Hawa,Ancient,"Qubbet el-Hawa is an ancient burial site located on the west bank of the Nile near Aswan. It contains the tombs of several important Nubian rulers from the Old Kingdom and the Middle Kingdom. The tombs are carved into the cliffs, and they are notable for their extensive and detailed inscriptions, which provide valuable information about Nubian culture, religion, and royal lineage. The site is a fascinating mix of Nubian and Egyptian burial traditions.",Aswan,"Sheyakhah Thalethah, Aswan, Aswan Governorate, Egypt",24.10218386,32.88907525
ANC_02,Unfinished_obelisk_in_Aswan,Ancient,The Unfinished Obelisk in Aswan's ancient granite quarries provides insight into ancient Egyptian stone-working techniques and the creation of monumental obelisks.,Aswan,"Sheyakhah Oula, Aswan, Aswan Governorate ",24.077054,32.89545845
ANC_03,Colossi_of_Memnon,Ancient,"The Colossi of Memnon are two massive stone statues of the Pharaoh Amenhotep III, standing on the West Bank of Luxor, once guarding his mortuary temple.",Luxor,"Al Bairat, Al Qarna, Luxor Governorate",25.72053458,32.61037688
ANC_04,Pyramid_of_Djoser,Ancient,"The Step Pyramid of Djoser in Saqqara is Egypt's oldest monumental stone structure, dating to the 27th century BCE. Designed by Imhotep, it marks a pivotal evolution in pyramid construction.",Giza,"Saqqara Necropolis, Saqqara, Giza Governorate, Egypt",29.87144092,31.21671924
ANC_05,Pyramids,Ancient,"A must-see global landmark, the Pyramids of Giza provide an awe-inspiring experience of ancient Egyptian history and monumental architecture. These impressive structures and the surrounding necropolis offer insights into a fascinating civilization and its beliefs about the afterlife.",Giza,"Giza Necropolis, Al Haram, Giza Governorate, Egypt ",29.977325,31.132446
MOD_01,Egyptian_National_Military_Museum,Modern,"This museum in Cairo showcases Egypt's military history through various eras, featuring weaponry, uniforms, and exhibits on significant battles and figures.",Cairo,"Salah Salem Rd, Al Abageyah, Al Khalifa, Cairo Governorate, Egypt",30.0307581,31.26250841
MOD_02,The_New_Administrative_Capital,Modern,"A purpose-built city located 45 km east of Cairo, designed to alleviate congestion in the capital. It features modern governmental buildings, residential areas, and landmarks like the Iconic Tower, Al-Fattah Al-Aleem Mosque, and the Cathedral of the Nativity of Christ.",Cairo,"New Administrative Capital, Cairo Governorate, Egypt​
",30.023829,31.7549459
MOD_03,Alexandria_Opera_House,Modern,"The Alexandria Opera House (Sayed Darwish Theatre) is a historic opera house in Alexandria, known for its beautiful architecture and hosting various cultural performances.",Alexandria,"El-Horreya Road (Fouad Street), El-Masalla East, El-Attarin, Alexandria Governorate",31.19751071,29.90158664
MOD_04,The_Grand_Egyptian_Museum,Modern,"Located near the Giza Pyramids, GEM is set to be the world's largest archaeological museum, housing over 100,000 artifacts, including the complete Tutankhamun collection. The museum's modern design offers panoramic views of the pyramids.",Giza,"Giza Plateau, Giza Governorate, Egypt",29.9934839,31.1228906
MOD_05,Montaza_Palace,Modern,"Montaza Palace in Alexandria is a former royal summer residence with vast gardens, beaches, and historically significant buildings showcasing unique architectural styles.",Alexandria,"Al Mandarah Bahri, Qesm El Montazah, Alexandria Governorate, Egypt",31.28882174,30.01592722
